NTA Experiment Summary File
Created with NTA 3.2 Dev Build 3.2.16

[Experiment Details]
Software Version,Unknown
Experiment Name,PBS_LPS_.nano
Sample Name,""
Operator Name,""
Time Captured,
Pre-treatment,""
Diluent,""
653.5,346,0,0,0,198,0,1993,0,0,0,0,0,0,46,0,13437,0,0,0,0,0,21289,0,0,0,0,15658,0,0,0,0,1,0,0,0,0,0,0,0,3681,0,0,0,0,0,0,0,0,0,0,1133,583,
654.5,279,0,0,0,161,0,1910,0,0,0,0,0,0,37,0,13461,0,0,0,0,0,19944,0,0,0,0,13910,0,0,0,0,1,0,0,0,0,0,0,0,3377,0,0,0,0,0,0,0,0,0,0,1062,546,
655.5,224,0,0,0,130,0,1828,0,0,0,0,0,0,30,0,13461,0,0,0,0,0,18668,0,0,0,0,12293,0,0,0,0,1,0,0,0,0,0,0,0,3088,0,0,0,0,0,0,0,0,0,0,994,513,
656.5,179,0,0,0,105,0,1747,0,0,0,0,0,0,24,0,13437,0,0,0,0,0,17459,0,0,0,0,10807,0,0,0,0,0,0,0,0,0,0,0,0,2816,0,0,0,0,0,0,0,0,0,0,932,482,
657.5,143,0,0,0,84,0,1669,0,0,0,0,0,0,19,0,13390,0,0,0,0,0,16315,0,0,0,0,9452,0,0,0,0,0,0,0,0,0,0,0,0,2559,0,0,0,0,0,0,0,0,0,0,873,454,
658.5,113,0,0,0,67,0,1592,0,0,0,0,0,0,15,0,13319,0,0,0,0,0,15232,0,0,0,0,8224,0,0,0,0,0,0,0,0,0,0,0,0,2319,0,0,0,0,0,0,0,0,0,0,818,429,
659.5,89,0,0,0,54,0,1518,0,0,0,0,0,0,12,0,13225,0,0,0,0,0,14208,0,0,0,0,7119,0,0,0,0,0,0,0,0,0,0,0,0,2095,0,0,0,0,0,0,0,0,0,0,766,406,
660.5,70,0,0,0,43,0,1445,0,0,0,0,0,0,10,0,13109,0,0,0,0,0,13242,0,0,0,0,6131,0,0,0,0,0,0,0,0,0,0,0,0,1886,0,0,0,0,0,0,0,0,0,0,719,386,
661.5,54,0,0,0,34,0,1374,0,0,0,0,0,0,8,0,12972,0,0,0,0,0,12329,0,0,0,0,5254,0,0,0,0,0,0,0,0,0,0,0,0,1693,0,0,0,0,0,0,0,0,0,0,674,367,
662.5,42,0,0,0,27,0,1306,0,0,0,0,0,0,6,0,12814,0,0,0,0,0,11469,0,0,0,0,4478,0,0,0,0,0,0,0,0,0,0,0,0,1516,0,0,0,0,0,0,0,0,0,0,633,350,
663.5,33,0,0,0,21,0,1239,0,0,0,0,0,0,5,0,12636,0,0,0,0,0,10659,0,0,0,0,3798,0,0,0,0,0,0,0,0,0,0,0,0,1352,0,0,0,0,0,0,0,0,0,0,595,334,
664.5,25,0,0,0,16,0,1175,0,0,0,0,0,0,4,0,12438,0,0,0,0,0,9896,0,0,0,0,3205,0,0,0,0,0,0,0,0,0,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,559,320,
665.5,19,0,0,0,13,0,1113,0,0,0,0,0,0,3,0,12223,0,0,0,0,0,9180,0,0,0,0,2691,0,0,0,0,0,0,0,0,0,0,0,0,1067,0,0,0,0,0,0,0,0,0,0,526,306,
666.5,15,0,0,0,10,0,1053,0,0,0,0,0,0,2,0,11991,0,0,0,0,0,8506,0,0,0,0,2248,0,0,0,0,0,0,0,0,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,495,293,
667.5,11,0,0,0,8,0,995,0,0,0,0,0,0,2,0,11744,0,0,0,0,0,7874,0,0,0,0,1869,0,0,0,0,0,0,0,0,0,0,0,0,831,0,0,0,0,0,0,0,0,0,0,467,282,
668.5,8,0,0,0,6,0,940,0,0,0,0,0,0,1,0,11482,0,0,0,0,0,7282,0,0,0,0,1546,0,0,0,0,0,0,0,0,0,0,0,0,730,0,0,0,0,0,0,0,0,0,0,440,270,
669.5,6,0,0,0,5,0,887,0,0,0,0,0,0,1,0,11206,0,0,0,0,0,6727,0,0,0,0,1272,0,0,0,0,0,0,0,0,0,0,0,0,640,0,0,0,0,0,0,0,0,0,0,415,260,
670.5,5,0,0,0,4,0,835,0,0,0,0,0,0,0,0,10919,0,0,0,0,0,6207,0,0,0,0,1042,0,0,0,0,0,0,0,0,0,0,0,0,559,0,0,0,0,0,0,0,0,0,0,391,249,
671.5,3,0,0,0,3,0,786,0,0,0,0,0,0,0,0,10622,0,0,0,0,0,5722,0,0,0,0,849,0,0,0,0,0,0,0,0,0,0,0,0,487,0,0,0,0,0,0,0,0,0,0,369,239,
672.5,3,0,0,0,2,0,739,0,0,0,0,0,0,0,0,10315,0,0,0,0,0,5269,0,0,0,0,688,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,349,230,
673.5,2,0,0,0,2,0,695,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,4846,0,0,0,0,555,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,0,0,0,329,220,
674.5,1,0,0,0,1,0,652,0,0,0,0,0,0,0,0,9679,0,0,0,0,0,4452,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,311,211,
675.5,0,0,0,0,0,0,611,0,0,0,0,0,0,0,0,9352,0,0,0,0,0,4086,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,294,202,
676.5,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,9021,0,0,0,0,0,3745,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,0,0,277,194,
677.5,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,8688,0,0,0,0,0,3429,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,262,185,
678.5,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,8354,0,0,0,0,0,3135,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,247,177,
679.5,0,0,0,0,0,0,467,0,0,0,0,0,0,0,0,8019,0,0,0,0,0,2863,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,233,169,
680.5,0,0,0,0,0,0,436,0,0,0,0,0,0,0,0,7684,0,0,0,0,0,2612,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,219,161,
681.5,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,7352,0,0,0,0,0,2379,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,207,154,
682.5,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,7023,0,0,0,0,0,2165,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,194,146,
683.5,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,6698,0,0,0,0,0,1967,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,183,139,
684.5,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,6377,0,0,0,0,0,1785,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,172,132,
685.5,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,6062,0,0,0,0,0,1618,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,161,125,
686.5,0,0,0,0,0,0,281,0,0,0,0,0,0,0,0,5753,0,0,0,0,0,1464,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,151,118,
687.5,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,5452,0,0,0,0,0,1323,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,142,112,
688.5,0,0,0,0,0,0,241,0,0,0,0,0,0,0,0,5157,0,0,0,0,0,1194,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,133,105,
689.5,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,4871,0,0,0,0,0,1076,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,124,99,
690.5,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,4594,0,0,0,0,0,969,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,116,93,
691.5,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,4325,0,0,0,0,0,871,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,108,88,
692.5,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,4066,0,0,0,0,0,781,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,101,82,
693.5,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,3817,0,0,0,0,0,700,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,94,77,
694.5,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,3577,0,0,0,0,0,626,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,87,72,
695.5,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,3347,0,0,0,0,0,560,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,81,68,
696.5,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,3126,0,0,0,0,0,499,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,75,63,
697.5,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,2916,0,0,0,0,0,445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,70,59,
698.5,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,2716,0,0,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,64,55,
699.5,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,2526,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,60,51,
700.5,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,2345,0,0,0,0,0,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,55,47,
701.5,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,2174,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,51,44,
702.5,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,2012,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,47,40,
703.5,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,1860,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43,37,
704.5,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,1716,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,34,
705.5,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,1581,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,32,
706.5,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1455,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,29,
707.5,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,1337,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,27,
708.5,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,1226,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,25,
709.5,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,1123,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,
710.5,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,1027,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,21,
711.5,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,938,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,
712.5,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,855,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,
713.5,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,779,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,16,
714.5,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,708,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,
715.5,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,643,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,
716.5,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,583,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,
717.5,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,527,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,
718.5,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,477,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,
719.5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,430,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,
720.5,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,388,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,
721.5,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,349,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,
722.5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,314,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,
723.5,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,282,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,
724.5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,252,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,
725.5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,226,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,
726.5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,202,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,
727.5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,180,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,
728.5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,160,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,
729.5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,143,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,
730.5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,127,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,
731.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,113,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
732.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,100,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
733.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,88,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
734.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,78,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,
735.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
736.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,61,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
737.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
738.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
739.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
740.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
741.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
742.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
743.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
744.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
745.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
746.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
747.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
748.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
749.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
750.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
751.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
752.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
753.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
754.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
755.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
756.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
757.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
758.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
759.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
760.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
761.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
762.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
763.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
764.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
765.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
766.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
767.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
768.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
769.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
770.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
771.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
772.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
773.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
774.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
775.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
776.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
777.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
778.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
